x,y,token
45.56814,-33.348515,door
38.582336,-10.592468,right
20.368916,50.33972,comfort
4.7702246,46.80474,somebody
37.1135,-15.011919,about
-3.129298,36.37263,goes
3.420843,33.344925,hearing
-0.45329383,46.52687,tell
18.486734,46.740963,spared
35.57658,30.875898,exertions
-20.229116,18.857067,maintain
-8.172154,-23.64332,flow
28.893497,32.776585,ideas
39.546055,28.784412,hoped
-11.694982,39.00141,help
19.193432,35.399708,tolerably
26.336367,0.067908615,attacked
34.071114,39.62603,regrets
25.133839,-36.4056,table
25.302675,6.9444118,placed
42.534145,30.690912,visitor
54.168217,1.7684556,immediately
54.314568,3.3704474,afterwards
2.1094282,-32.9751,walked
37.497234,34.367737,unnecessary
48.856373,39.02718,mr_knightley
18.96263,29.148157,sensible
-60.344486,-30.598759,eight
-60.607227,-30.581707,thirty
38.479282,43.522053,intimate
22.012154,27.51283,connected
8.365876,60.249687,elder
-63.914684,10.190607,brother
28.517939,22.511553,frequent
-2.6136785,16.77259,welcome
55.102295,1.8281436,directly
32.369774,29.357046,mutual
30.336819,29.901897,connexions
0.5505317,20.703999,returned
10.367364,34.001274,late
-22.397213,0.7993062,days
42.71739,28.276657,absence
48.613216,12.987437,brunswick
12.19848,-31.444283,square
44.980896,30.978626,circumstance
26.46477,14.399534,animated
42.78822,29.827427,inquiries
-51.28092,8.665424,answered
18.412493,32.388897,gratefully
42.18587,12.826958,observed
51.409832,3.8474874,come
28.461615,-30.12323,out
-13.771165,36.43654,call
-19.86952,21.474699,afraid
11.157442,37.847763,shocking
-5.033033,46.627644,sir
12.699739,-14.582147,beautiful
15.810113,-31.532454,moonlight
-3.331336,-19.469706,mild
-16.047766,30.21779,draw
41.7301,-42.54622,back
-31.733461,-18.719297,fire
32.044415,-1.1895615,found
1.9165195,-24.320185,damp
31.273952,-24.028156,dirty
56.945995,-21.831793,catch
1.8909817,-24.276127,cold
-6.4300838,42.68871,look
29.292336,-27.277746,shoes
37.498444,-0.6768848,quite
16.889473,22.013826,surprising
-10.580557,-47.43777,vast
-4.811385,33.717606,deal
-16.71981,-36.750618,rain
-24.56228,-21.945356,rained
12.520439,36.16885,dreadfully
38.156025,-14.5115385,hard
56.88291,5.8708634,breakfast
14.667086,45.609947,wanted
-1.5872118,45.71405,bye
-19.108603,5.3295994,joy
19.540682,17.891663,sort
32.90848,25.663664,feeling
55.5221,1.0200746,hurry
19.764393,51.77102,hope
34.738556,-49.25516,went
13.262158,51.744884,behave
54.3765,-11.873547,cried
-6.0413513,44.859318,ah
-21.796652,54.461384,tis
7.566854,38.33835,business
48.538235,-5.042795,mr
6.8851275,43.729584,miss_woodhouse
-3.125209,49.021717,please
11.310309,43.960278,possibly
56.55616,-18.031525,.'
30.907158,45.542385,regard
-3.1230183,36.325356,comes
4.0896516,31.671415,question
32.078903,37.7656,dependence
30.86227,32.57703,independence
11.892257,21.005583,rate
8.749228,49.742966,better
16.994253,21.94919,especially
